Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,zscore
139,Tari Eason,PF,21,HOU,82,5,21.5,3.6,8.0,0.44799999999999995,0.7,2.1,0.34299999999999997,2.9,6.0,0.486,0.493,1.3,1.8,0.752,2.4,3.7,6.0,1.1,1.2,0.6,1.2,2.3,9.3,0.47816241679410926
13,Cole Anthony,PG,22,ORL,60,4,25.9,4.6,10.2,0.45399999999999996,1.3,3.4,0.364,3.4,6.7,0.5,0.516,2.5,2.8,0.894,0.8,4.0,4.8,3.9,0.6,0.5,1.5,2.6,13.0,0.4075185430640442
86,Alex Caruso,PG,28,CHI,67,36,23.5,1.9,4.3,0.455,0.8,2.3,0.364,1.1,2.0,0.556,0.551,0.9,1.1,0.8079999999999999,0.6,2.3,2.9,2.9,1.5,0.7,1.1,2.4,5.6,0.37213061006842696
78,Kentavious Caldwell-Pope,SG,29,DEN,76,76,31.3,3.8,8.3,0.462,1.8,4.2,0.423,2.1,4.1,0.502,0.569,1.4,1.6,0.8240000000000001,0.5,2.3,2.7,2.4,1.5,0.5,1.1,1.9,10.8,0.35744069094822933
387,Aleksej Pokusevski,PF,21,OKC,34,25,20.6,3.2,7.3,0.434,1.1,3.1,0.365,2.1,4.3,0.483,0.51,0.6,1.0,0.629,1.3,3.4,4.7,1.9,0.6,1.3,1.3,1.7,8.1,0.2923445789216714
222,Kevin Huerter,SG,24,SAC,75,75,29.4,5.6,11.5,0.485,2.7,6.8,0.402,2.9,4.7,0.604,0.603,1.3,1.7,0.725,0.6,2.8,3.3,2.9,1.1,0.3,1.3,2.4,15.2,0.22658045063886362
403,Immanuel Quickley,SG,23,NYK,81,21,28.9,5.2,11.6,0.44799999999999995,2.1,5.6,0.37,3.1,6.0,0.521,0.537,2.5,3.1,0.8190000000000001,0.7,3.4,4.2,3.4,1.0,0.2,1.2,2.0,14.9,0.1913223275778853
456,Jeremy Sochan,PF,19,SAS,56,53,26.0,4.5,9.9,0.45299999999999996,0.6,2.4,0.24600000000000002,3.9,7.5,0.519,0.483,1.4,2.1,0.698,1.7,3.6,5.3,2.5,0.8,0.4,1.7,2.5,11.0,0.17416046663941598
459,Isaiah Stewart,C,21,DET,50,47,28.3,3.9,8.8,0.442,1.3,4.1,0.327,2.6,4.7,0.542,0.518,2.2,3.0,0.738,2.3,5.8,8.1,1.4,0.4,0.7,1.4,2.7,11.3,0.17321487360906415
529,Justise Winslow,PF,26,POR,29,11,26.8,2.8,6.8,0.409,0.5,1.6,0.311,2.3,5.3,0.43799999999999994,0.444,0.7,1.0,0.7140000000000001,1.7,3.3,5.0,3.4,1.0,0.4,1.5,3.1,6.8,0.1415503529757397
60,Malcolm Brogdon,PG,30,BOS,67,0,26.0,5.3,10.9,0.484,2.0,4.4,0.444,3.3,6.5,0.51,0.574,2.4,2.7,0.87,0.6,3.6,4.2,3.7,0.7,0.3,1.5,1.6,14.9,0.13190386645730562
479,Gary Trent Jr.,SG,24,TOR,66,44,32.1,6.1,14.2,0.433,2.5,6.8,0.369,3.6,7.3,0.493,0.522,2.6,3.1,0.8390000000000001,0.5,2.2,2.6,1.6,1.6,0.2,0.8,1.5,17.4,0.1217242683496026
47,Bol Bol,PF,23,ORL,70,33,21.5,3.7,6.8,0.546,0.4,1.6,0.265,3.3,5.2,0.633,0.5770000000000001,1.2,1.5,0.759,1.0,4.8,5.8,1.0,0.4,1.2,1.6,1.3,9.1,0.06871762415167304
243,Cameron Johnson,PF,26,TOT,42,41,28.5,5.3,11.3,0.47,2.5,6.1,0.40399999999999997,2.9,5.2,0.5479999999999999,0.579,2.4,2.9,0.8420000000000001,0.8,3.6,4.4,1.9,1.2,0.3,0.9,2.0,15.5,0.04590676849690761
217,Al Horford,C,36,BOS,63,63,30.5,3.6,7.6,0.47600000000000003,2.3,5.2,0.446,1.3,2.4,0.539,0.627,0.2,0.3,0.7140000000000001,1.2,5.0,6.2,3.0,0.5,1.0,0.6,1.9,9.8,-0.08094959148134129
398,Joshua Primo,SG,20,SAS,4,0,23.3,2.3,6.5,0.34600000000000003,0.8,3.0,0.25,1.5,3.5,0.429,0.40399999999999997,1.8,2.3,0.778,0.5,2.8,3.3,4.5,0.3,0.5,2.8,2.0,7.0,-0.10229366917909444
392,Bobby Portis,PF,27,MIL,70,22,26.0,5.7,11.5,0.496,1.4,3.7,0.37,4.3,7.8,0.555,0.555,1.4,1.8,0.768,2.2,7.4,9.6,1.5,0.4,0.2,1.2,1.6,14.1,-0.12617611643317528
316,Tyrese Maxey,SG,22,PHI,60,41,33.6,7.3,15.2,0.48100000000000004,2.7,6.2,0.434,4.7,9.1,0.513,0.568,3.0,3.6,0.845,0.4,2.6,2.9,3.5,0.8,0.1,1.3,2.2,20.3,-0.15617914499514285
522,Mark Williams,C,21,CHO,43,17,19.3,3.7,5.8,0.637,0.0,0.0,,3.7,5.8,0.637,0.637,1.6,2.3,0.691,2.2,4.9,7.1,0.4,0.7,1.0,0.9,2.2,9.0,-0.1887113546798902
296,Kevon Looney,C,26,GSW,82,70,23.9,3.0,4.7,0.63,0.0,0.0,0.0,3.0,4.7,0.632,0.63,1.1,1.9,0.606,3.3,5.9,9.3,2.5,0.6,0.6,0.5,2.7,7.0,-0.20566278502062507
127,Luguentz Dort,SF,23,OKC,74,73,30.7,4.6,11.8,0.38799999999999996,1.8,5.5,0.33,2.8,6.3,0.44,0.466,2.7,3.5,0.772,1.7,2.9,4.6,2.1,1.0,0.3,1.2,3.3,13.7,-0.21853140035500632
